"time_utc","type","latitude","longitude","peak_current","ic_height"
"2020-08-29T15:41:27.551688115","0","35.16297","-113.17075","-13750.0","0.0"
"2020-08-29T15:41:55.494404347","0","37.49203","-107.06795","-63429.0","0.0"
"2020-08-29T15:43:25.586551120","0","34.58621","-113.46009","-12105.0","0.0"
"2020-08-29T15:44:08.656657570","0","35.15791","-113.15034","-17152.0","0.0"
"2020-08-29T15:44:50.868859797","0","34.64713","-113.46454","36310.0","0.0"
"2020-08-29T15:44:59.865920209","0","35.16167","-113.13706","-22213.0","0.0"
"2020-08-29T15:45:42.813564922","0","37.52958","-107.02168","185283.0","0.0"
"2020-08-29T15:45:59.472012776","0","34.65504","-113.43615","-16675.0","0.0"
"2020-08-29T15:46:04.621147218","0","35.15959","-113.15033","-25857.0","0.0"
"2020-08-29T15:47:14.154147159","0","34.66115","-113.45949","19235.0","0.0"
"2020-08-29T15:47:43.637059176","0","34.64076","-113.43377","-8002.0","0.0"
"2020-08-29T15:47:46.754531247","0","35.16548","-113.10832","-32883.0","0.0"
"2020-08-29T15:49:47.653138395","0","35.22289","-113.12717","-14518.0","0.0"
"2020-08-29T15:50:14.072550131","0","34.65898","-113.39304","-36520.0","0.0"
"2020-08-29T15:51:44.895045601","0","35.18716","-113.11115","31090.0","0.0"
"2020-08-29T15:51:49.177328594","0","34.68766","-113.40469","55929.0","0.0"
"2020-08-29T15:54:10.353230580","0","35.22283","-113.14498","-23191.0","0.0"
"2020-08-29T15:56:44.817007940","0","35.24206","-113.11908","-33512.0","0.0"
"2020-08-29T15:59:40.689158209","0","35.23743","-113.05736","46979.0","0.0"
"2020-08-29T15:59:49.402929122","0","41.15598","-106.70792","-5103.0","0.0"
"2020-08-29T16:00:37.741598051","0","41.14089","-106.75565","-24994.0","0.0"
"2020-08-29T16:00:51.389259658","0","34.54952","-113.31996","-31041.0","0.0"
"2020-08-29T16:02:41.604541266","0","34.53767","-113.33144","-5994.0","0.0"
"2020-08-29T16:03:27.171876306","0","41.11962","-106.74899","-33850.0","0.0"
"2020-08-29T16:04:45.217444972","0","41.06638","-106.69301","-37524.0","0.0"
"2020-08-29T16:04:49.039659685","0","34.24414","-113.0791","-11047.0","0.0"
"2020-08-29T16:05:00.444365809","0","34.74285","-113.29958","-19724.0","0.0"
"2020-08-29T16:05:25.510599815","0","34.55265","-113.32035","-7484.0","0.0"
"2020-08-29T16:05:26.986104522","0","34.69114","-113.29669","33312.0","0.0"
